# scene_id, seg_name, start_timestep, end_timestep, scene_type
1,seg100239,0,-1,ego-static
23,seg104554,0,-1,ego-static
24,seg104859,0,-1,ego-static
37,seg107239,0,-1,ego-static
66,seg113189,0,-1,ego-static
108,seg123162,0,-1,ego-static
114,seg125050,0,-1,ego-static
115,seg125116,0,-1,ego-static
2,seg100508,0,-1,high-speed
41,seg107707,0,-1,high-speed
46,seg109239,0,-1,high-speed
62,seg111994,0,-1,high-speed
71,seg113924,0,-1,high-speed
73,seg114626,0,-1,high-speed
82,seg117995,0,-1,high-speed
83,seg118396,0,-1,high-speed
7,seg100822,0,-1,nighttime
15,seg102261,0,-1,nighttime
30,seg105842,0,-1,nighttime
51,seg109752,0,-1,nighttime
130,seg129566,0,-1,nighttime
133,seg129886,0,-1,nighttime
159,seg135171,0,-1,nighttime
770,seg917574,0,-1,nighttime
44,seg108305,0,-1,rainy
56,seg110763,0,-1,rainy
244,seg153428,0,-1,rainy
449,seg267067,0,-1,rainy
688,seg737359,0,-1,rainy
690,seg744043,0,-1,rainy
736,seg845475,0,-1,rainy
738,seg849465,0,-1,rainy
47,seg109277,0,-1,gloomy
205,seg144275,0,-1,gloomy
220,seg147777,0,-1,gloomy
284,seg161022,0,-1,gloomy
333,seg172163,0,-1,gloomy
537,seg429544,0,-1,gloomy
699,seg764359,0,-1,gloomy
749,seg874510,0,-1,gloomy
58,seg111194,0,-1,exposure_mismatch
93,seg120126,0,-1,exposure_mismatch
143,seg131811,0,-1,exposure_mismatch
505,seg356334,0,-1,exposure_mismatch
545,seg439245,0,-1,exposure_mismatch
585,seg512979,0,-1,exposure_mismatch
765,seg912386,0,-1,exposure_mismatch
766,seg912496,0,-1,exposure_mismatch
124,seg128560,0,-1,dusk/dawn
147,seg132079,0,-1,dusk/dawn
206,seg144309,0,-1,dusk/dawn
213,seg147348,0,-1,dusk/dawn
574,seg496738,0,-1,dusk/dawn
680,seg718760,0,-1,dusk/dawn
696,seg755420,0,-1,dusk/dawn
737,seg848780,0,-1,dusk/dawn
