# scene_id, seg_name, start_timestep, end_timestep, scene_type
16,seg102319,0,-1,dynamic
21,seg103913,0,-1,dynamic
22,seg104444,0,-1,dynamic
25,seg104980,0,-1,dynamic
31,seg105887,0,-1,dynamic
34,seg106250,0,-1,dynamic
35,seg106648,0,-1,dynamic
49,seg109636,0,-1,dynamic
53,seg110170,0,-1,dynamic
80,seg117188,0,-1,dynamic
84,seg118463,0,-1,dynamic
86,seg119178,0,-1,dynamic
89,seg119284,0,-1,dynamic
94,seg120278,0,-1,dynamic
96,seg121618,0,-1,dynamic
102,seg122514,0,-1,dynamic
111,seg123392,0,-1,dynamic
222,seg148106,0,-1,dynamic
323,seg168016,0,-1,dynamic
382,seg181118,0,-1,dynamic
402,seg191876,0,-1,dynamic
427,seg225932,0,-1,dynamic
438,seg254789,0,-1,dynamic
546,seg441423,0,-1,dynamic
581,seg508351,0,-1,dynamic
592,seg522233,0,-1,dynamic
620,seg583504,0,-1,dynamic
640,seg624282,0,-1,dynamic
700,seg767010,0,-1,dynamic
754,seg882250,0,-1,dynamic
795,seg990779,0,-1,dynamic
796,seg990914,0,-1,dynamic
