# scene_id, seg_name, start_timestep, end_timestep, scene_type
3,seg100613,0,163,static
19,seg102751,0,-1,static
36,seg106762,0,-1,static
69,seg113792,0,-1,static
81,seg117240,0,-1,static
126,seg128796,0,-1,static
139,seg130854,0,-1,static
140,seg131421,17,-1,static
146,seg131967,0,-1,static
148,seg132384,0,-1,static
157,seg134763,0,140,static
181,seg140045,24,-1,static
200,seg143481,0,-1,static
204,seg144248,0,-1,static
226,seg148697,0,-1,static
232,seg150623,0,-1,static
237,seg152217,0,-1,static
241,seg152706,30,-1,static
245,seg153495,80,-1,static
246,seg153658,0,170,static
271,seg158686,70,-1,static
297,seg163453,0,-1,static
302,seg164701,0,-1,static
312,seg166085,0,120,static
314,seg166463,0,-1,static
362,seg177619,0,-1,static
482,seg322492,0,-1,static
495,seg342571,0,-1,static
524,seg398895,0,-1,static
527,seg405841,90,-1,static
753,seg881121,0,-1,static
780,seg938501,0,-1,static
